Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2010-05-09,Triveni Bikas Bank Limited,,5,321.00,303.00,303.00,330.00,103950.00,327.00,-24.00 ,
2010-05-10,Triveni Bikas Bank Limited,,1,309.00,309.00,309.00,20.00,6180.00,303.00,6.00 ,
2010-05-11,Supreme Development Bank Ltd.,,1,131.00,131.00,131.00,200.00,26200.00,129.00,2.00 ,
2010-05-12,Supreme Development Bank Ltd.,,6,139.00,133.00,139.00,1600.00,215300.00,131.00,8.00 ,
2010-05-13,Universal Finance Ltd.,,1,200.00,200.00,200.00,300.00,60000.00,201.00,-1.00 ,
2010-05-16,Triveni Bikas Bank Limited,,8,325.00,309.00,325.00,270.00,86160.00,303.00,22.00 ,
2010-05-17,Triveni Bikas Bank Limited,,2,319.00,313.00,313.00,20.00,6320.00,325.00,-12.00 ,
2010-05-18,United Insurance Co. (Nepal) Ltd.,UIC,3,196.00,193.00,193.00,161.00,31406.00,199.00,-6.00 ,Non Life Insurance
2010-05-19,Supreme Development Bank Ltd.,,8,141.00,140.00,141.00,1440.00,202440.00,138.00,3.00 ,
2010-05-20,Triveni Bikas Bank Limited,,1,337.00,337.00,337.00,10.00,3370.00,331.00,6.00 ,
2010-05-23,United Insurance Co. (Nepal) Ltd.,UIC,5,190.00,184.00,185.00,362.00,67766.00,193.00,-8.00 ,Non Life Insurance
2010-05-24,Supreme Development Bank Ltd.,,4,139.00,133.00,133.00,255.00,34725.00,140.00,-7.00 ,
2010-05-25,Triveni Bikas Bank Limited,,1,355.00,355.00,355.00,20.00,7100.00,349.00,6.00 ,
2010-05-26,Yeti Finance Ltd.,,1,275.00,275.00,275.00,500.00,137500.00,410.00,-135.00 ,
2010-05-30,United Finance Ltd.,UFL,1,341.00,341.00,341.00,19.00,6479.00,347.00,-6.00 ,Finance
2010-05-31,Triveni Bikas Bank Limited,,1,375.00,375.00,375.00,10.00,3750.00,382.00,-7.00 ,
2010-06-01,Supreme Development Bank Ltd.,,4,143.00,139.00,139.00,450.00,63870.00,145.00,-6.00 ,
2010-06-02,Triveni Bikas Bank Limited,,6,385.00,375.00,385.00,660.00,248840.00,375.00,10.00 ,
2010-06-03,United Finance Ltd.,UFL,3,335.00,323.00,323.00,158.00,52354.00,341.00,-18.00 ,Finance
2010-06-06,Union Finance Co. Ltd.,,1,453.00,453.00,453.00,29.00,13137.00,462.00,-9.00 ,
2010-06-07,Yeti Finance Ltd.,,3,280.00,275.00,276.00,161.00,44536.00,275.00,1.00 ,
2010-06-08,Universal Finance Ltd.,,1,196.00,196.00,196.00,50.00,9800.00,200.00,-4.00 ,
2010-06-09,Universal Finance Ltd.,,1,193.00,193.00,193.00,10.00,1930.00,196.00,-3.00 ,
2010-06-10,Supreme Development Bank Ltd.,,9,143.00,140.00,141.00,1288.00,181448.00,139.00,2.00 ,
2010-06-13,Unilever Nepal Limited,UNL,1,4149.00,4149.00,4149.00,20.00,82980.00,4068.00,81.00 ,Manufacturing And Processing
2010-06-14,Universal Finance Ltd.,,1,191.00,191.00,191.00,10.00,1910.00,193.00,-2.00 ,
2010-06-15,Universal Finance Ltd.,,1,189.00,189.00,189.00,10.00,1890.00,191.00,-2.00 ,
2010-06-16,Triveni Bikas Bank Limited,,1,383.00,383.00,383.00,30.00,11490.00,389.00,-6.00 ,
2010-06-17,Universal Finance Ltd.,,5,187.00,181.00,181.00,2010.00,368370.00,189.00,-8.00 ,
2010-06-20,Yeti Finance Ltd.,,1,275.00,275.00,275.00,60.00,16500.00,276.00,-1.00 ,
2010-06-21,United Insurance Co. (Nepal) Ltd.,UIC,2,198.00,195.00,198.00,37.00,7275.00,192.00,6.00 ,Non Life Insurance
2010-06-22,Supreme Development Bank Ltd.,,1,136.00,136.00,136.00,100.00,13600.00,138.00,-2.00 ,
2010-06-23,United Insurance Co. (Nepal) Ltd.,UIC,6,213.00,201.00,213.00,120.00,25060.00,198.00,15.00 ,Non Life Insurance
2010-06-24,United Insurance Co. (Nepal) Ltd.,UIC,1,217.00,217.00,217.00,20.00,4340.00,213.00,4.00 ,Non Life Insurance
2010-06-28,United Finance Ltd.,UFL,1,299.00,299.00,299.00,258.00,77142.00,305.00,-6.00 ,Finance
2010-06-29,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,13,400.00,400.00,400.00,455.00,182000.00,395.00,5.00 ,Microfinance
2010-06-30,United Insurance Co. (Nepal) Ltd.,UIC,5,225.00,221.00,225.00,126.00,28210.00,217.00,8.00 ,Non Life Insurance
2010-07-01,United Insurance Co. (Nepal) Ltd.,UIC,5,235.00,221.00,235.00,90.00,20310.00,225.00,10.00 ,Non Life Insurance
2010-07-04,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,7,395.00,392.00,395.00,245.00,96670.00,392.00,3.00 ,Microfinance
2010-07-05,United Insurance Co. (Nepal) Ltd.,UIC,1,239.00,239.00,239.00,34.00,8126.00,235.00,4.00 ,Non Life Insurance
2010-07-06,Universal Finance Ltd.,,1,180.00,180.00,180.00,225.00,40500.00,181.00,-1.00 ,
2010-07-07,Universal Finance Ltd.,,1,183.00,183.00,183.00,565.00,103395.00,180.00,3.00 ,
2010-07-08,Universal Finance Ltd.,,2,189.00,186.00,189.00,20.00,3750.00,183.00,6.00 ,
2010-07-11,Supreme Development Bank Ltd.,,23,132.00,129.00,132.00,2215.00,286470.00,129.00,3.00 ,
2010-07-12,Supreme Development Bank Ltd.,,1,131.00,131.00,131.00,100.00,13100.00,132.00,-1.00 ,
2010-07-13,Supreme Development Bank Ltd.,,1,131.00,131.00,131.00,3500.00,458500.00,131.00,0.00 ,
